article,beta,se,isIntercept,Type,SD
songer1999haves,-0.12,0.22,0,Dummy,
songer1999haves,0.3,0.25,0,Dummy,
songer1999haves,-0.03,0.16,0,Dummy,
songer1999haves,-0.31,0.13,0,Dummy,
songer1999haves,-0.42,0.07,0,Dummy,
songer1999haves,-0.04,0.16,0,Dummy,
songer1999haves,0.62,0.22,0,Dummy,
songer1999haves,0.42,0.13,0,Dummy,
songer1999haves,0.63,0.11,0,Dummy,
songer1999haves,0.5,0.07,0,Dummy,
haynie1994resource,1.738,1.083,1,Dummy,
haynie1994resource,0.135,0.059,0,Dummy,
haynie1994resource,0.306,0.227,0,Dummy,
haynie1994resource,0.351,0.216,0,Dummy,
haynie1994resource,0.931,0.235,0,Dummy,
haynie1994resource,0.498,0.235,0,Dummy,
haynie1994resource,0.367,2.13,0,Dummy,
haynie1994resource,0.696,0.213,0,Dummy,
haynie1994resource,-2.235,1.096,0,Dummy,
haynie1994resource,-2.093,1.094,0,Dummy,
haynie1994resource,-1.625,1.124,0,Dummy,
haynie1994resource,-1.703,1.105,0,Dummy,
haynie1994resource,-1.159,0.272,0,Dummy,
haynie1994resource,0.029,0.11,0,Dummy,
haynie1994resource,0.986,0.15,0,Dummy,
haynie1994resource,0.72,0.131,0,Dummy,
haynie1994resource,-0.486,0.099,0,Dummy,
mcguire1995repeat,0.39,NA,1,Dummy,
mcguire1995repeat,0.1,NA,0,Continuous,
mcguire1995repeat,0.18,NA,0,Continuous,
mcguire1995repeat,0.84,NA,0,Dummy,
mcguire1995repeat,-0.8,NA,0,Dummy,
mcguire1995repeat,0.06,NA,0,Continuous,
mcguire1995repeat,0.04,NA,0,Continuous,
mcguire1995repeat,0.21,NA,0,Continuous,
songer2000haves,-0.12,0.21,1,Dummy,
songer2000haves,0.63,0.19,0,Dummy,
songer2000haves,-0.16,0.2,0,Dummy,
songer2000haves,-0.25,0.21,0,Dummy,
songer2000haves,-0.5,0.13,0,Dummy,
songer2000haves,0.67,0.14,0,Dummy,
songer2000haves,0.75,0.14,0,Dummy,
songer2000haves,-0.33,0.17,0,Dummy,
songer2000haves,0.5,0.55,1,Dummy,
songer2000haves,-0.15,0.42,0,Dummy,
songer2000haves,-0.15,0.42,0,Dummy,
songer2000haves,1.39,1.18,0,Dummy,
songer2000haves,-0.27,0.39,0,Dummy,
songer2000haves,-0.65,0.47,0,Dummy,
songer2000haves,-0.63,0.52,0,Dummy,
songer2000haves,1.14,0.27,1,Dummy,
songer2000haves,0.33,0.26,0,Dummy,
songer2000haves,-0.7,0.33,0,Dummy,
songer2000haves,-0.46,0.29,0,Dummy,
songer2000haves,-0.8,0.15,0,Dummy,
songer2000haves,-0.55,0.16,0,Dummy,
songer2000haves,-0.69,0.17,0,Dummy,
songer2000haves,0.53,0.17,0,Dummy,
farole1999reexamining,-0.613,0.228,1,Dummy,
farole1999reexamining,0.248,0.046,0,Continuous,
farole1999reexamining,-0.033,0.048,0,Continuous,
farole1999reexamining,0.584,0.107,0,Dummy,
farole1999reexamining,-0.476,0.194,0,Dummy,
farole1999reexamining,-0.518,0.156,0,Dummy,
farole1999reexamining,-0.138,0.176,0,Dummy,
farole1999reexamining,-0.394,0.156,0,Dummy,
farole1999reexamining,0.152,0.151,0,Dummy,
farole1999reexamining,-0.025,0.151,0,Dummy,
mcguire1998explaining,0.34,0.04,1,Dummy,
mcguire1998explaining,0.34,0.04,1,Dummy,
mcguire1998explaining,0.32,0.05,1,Dummy,
mcguire1998explaining,0.31,0.07,0,BiDummy,
mcguire1998explaining,0.1,0.1,0,BiDummy,
mcguire1998explaining,0.23,0.07,0,Continuous,
mcguire1998explaining,0.25,0.07,0,Continuous,
mcguire1998explaining,0.34,0.04,1,Dummy,
mcguire1998explaining,0.34,0.04,1,Dummy,
mcguire1998explaining,0.27,0.09,0,BiDummy,
mcguire1998explaining,0.05,0.11,0,BiDummy,
mcguire1998explaining,0.39,0.13,0,BiDummy,
mcguire1998explaining,0.18,0.14,0,BiDummy,
mcguire1998explaining,0.23,0.07,0,Continuous,
mcguire1998explaining,0.32,0.05,1,Dummy,
mcguire1998explaining,0.32,0.05,1,Dummy,
mcguire1998explaining,0.38,0.11,0,Dummy,
mcguire1998explaining,0.16,0.13,0,Dummy,
mcguire1998explaining,-0.22,0.12,0,Dummy,
mcguire1998explaining,-0.02,0.14,0,Dummy,
mcguire1998explaining,0.23,0.07,0,Continuous,
haire1999attorney,-0.854,0.306,0,Dummy,
haire1999attorney,0.139,0.288,0,Dummy,
haire1999attorney,0.102,0.322,0,Dummy,
haire1999attorney,0.389,0.279,0,Dummy,
haire1999attorney,0.225,0.088,0,Continuous,
haire1999attorney,5.841,1.045,0,Dummy,
haire1999attorney,0.761,0.296,0,Dummy,
haire1999attorney,0.219,0.111,0,Dummy,
haire1999attorney,-0.38,0.288,0,Dummy,
haire1999attorney,-1.232,0.387,1,Dummy,
szmer2007does,0.162,0.075,0,Continuous,0.997
szmer2007does,0.196,0.109,0,Continuous,0.612
szmer2007does,-0.069,0.107,0,Continuous,0.644
szmer2007does,0.077,0.02,0,Continuous,4.66
szmer2007does,0.421,0.242,0,Continuous,0.487
szmer2007does,0.271,0.136,0,Dummy,0.487
szmer2007does,-0.315,0.154,0,Continuous,0.621
szmer2007does,-0.359,NA,1,Dummy,NA
hanretty2013haves,-0.307,0.264,1,Dummy,
hanretty2013haves,-0.483,0.514,0,Dummy,
hanretty2013haves,0.266,0.433,0,Dummy,
hanretty2013haves,0.156,0.143,0,Continuous,
hanretty2013haves,0.166,0.077,0,Continuous,
hanretty2013haves,-0.042,0.134,0,Continuous,
hanretty2013haves,0.101,0.071,0,Continuous,
hanretty2013haves,0.381,0.496,0,BiDummy,
hanretty2013haves,-0.096,0.161,0,BiDummy,
hanretty2013haves,0.446,0.16,0,BiDummy,
hanretty2013haves,0.522,0.118,0,BiDummy,
hanretty2013haves,-0.06,0.49,0,BiDummy,
hanretty2013haves,-0.172,0.719,0,BiDummy,
hanretty2013haves,0.58,0.526,0,BiDummy,
hanretty2013haves,0.213,0.252,0,BiDummy,
hanretty2013haves,0.352,0.168,0,BiDummy,
hanretty2013haves,1.042,0.491,0,BiDummy,
hanretty2013haves,-0.1,0.152,0,Dummy,
hanretty2013haves,0.173,0.152,0,Dummy,
hanretty2013haves,0.056,0.204,0,Dummy,
hanretty2013haves,0.244,0.341,0,Dummy,
hanretty2013haves,0.016,0.275,0,Dummy,
hanretty2013haves,0.226,0.27,0,Dummy,
hanretty2013haves,-0.023,0.271,0,Dummy,
hanretty2013haves,0.043,0.28,0,Dummy,
